DATE,Sales_EUR,Sales_EUR_Diff
2018-11-01,526292.77,-59759.96999999997
2018-12-01,271490.71,-254802.06
2019-01-01,381400.15,109909.44
2019-02-01,368475.57,-12924.580000000016
2019-03-01,591288.36,222812.78999999998
2019-04-01,418899.9,-172388.45999999996
2019-05-01,298806.83999999997,-120093.06000000006
2019-06-01,420707.73,121900.89000000001
2019-07-01,366980.26,-53727.46999999997
2019-08-01,397537.2,30556.940000000002
2019-09-01,1084685.92,687148.72
2019-10-01,111791.34,-972894.58
2019-11-01,542923.42,431132.0800000001
2019-12-01,491332.72000000003,-51590.70000000001
2020-01-01,323769.2,-167563.52000000002
2020-02-01,326973.94,3204.7399999999907
2020-03-01,845857.76,518883.82
2020-04-01,302765.68,-543092.0800000001
2020-05-01,712746.38,409980.7
2020-06-01,599831.93,-112914.44999999995
2020-07-01,583157.61,-16674.320000000065
2020-08-01,916909.76,333752.15
2020-09-01,1337657.62,420747.8600000001
2020-10-01,153873.52,-1183784.1
2020-11-01,904436.89,750563.37
2020-12-01,1061969.46,157532.56999999995
2021-01-01,305820.25999999995,-756149.2
2021-02-01,1615468.03,1309647.77
2021-03-01,899610.15,-715857.88
2021-04-01,1070486.79,170876.64
2021-05-01,813607.01,-256879.78000000003
2021-06-01,1091239.79,277632.78
2021-07-01,1207554.52,116314.72999999998
2021-08-01,1093379.99,-114174.53000000003
2021-09-01,2036355.01,942975.02
2021-10-01,356322.55,-1680032.46
2021-11-01,1140720.52,784397.97
2021-12-01,2655036.7800000003,1514316.2600000002
2022-01-01,1208090.29,-1446946.4900000002
2022-02-01,1239171.41,31081.11999999988
2022-03-01,1873520.38,634348.97
2022-04-01,1336220.96,-537299.4199999999
